,0,1
0,"('better', 'music')",2081
1,"('great', 'service')",1595
2,"('fast', 'delivery')",1145
3,"('customer', 'service')",973
4,"('excellent', 'service')",766
5,"('quick', 'delivery')",681
6,"('service', 'great')",641
7,"('great', 'price')",438
8,"('good', 'service')",401
9,"('fast', 'shipping')",376
10,"('great', 'product')",364
11,"('good', 'price')",340
12,"('prompt', 'delivery')",318
13,"('service', 'fast')",315
14,"('service', 'excellent')",295
15,"('highly', 'recommend')",292
16,"('great', 'customer')",283
17,"('super', 'fast')",266
18,"('delivery', 'great')",255
19,"('great', 'communication')",245
20,"('best', 'price')",219
21,"('great', 'prices')",209
22,"('deal', 'with')",208
23,"('service', 'good')",206
24,"('excellent', 'customer')",206
25,"('highly', 'recommended')",202
26,"('good', 'communication')",197
27,"('prompt', 'service')",196
28,"('fast', 'service')",190
29,"('speedy', 'delivery')",180
30,"('service', 'quick')",178
31,"('well', 'packaged')",177
32,"('great', 'experience')",177
33,"('would', 'recommend')",171
34,"('perfect', 'condition')",167
35,"('fantastic', 'service')",161
36,"('arrived', 'quickly')",161
37,"('within', 'days')",155
38,"('delivery', 'good')",152
39,"('service', 'prompt')",149
40,"('delivery', 'fast')",148
41,"('efficient', 'service')",145
42,"('price', 'fast')",145
43,"('recommend', 'better')",141
44,"('good', 'prices')",137
45,"('easy', 'deal')",132
46,"('delivery', 'quick')",131
47,"('would', 'definitely')",126
48,"('delivery', 'time')",126
49,"('quick', 'service')",126
