bigram,count,rating
"('better', 'music')",44,1
"('star', 'track')",9,1
"('staff', 'member')",7,1
"('item', 'stock')",6,1
"('faulty', 'product')",6,1
"('still', 'waiting')",5,1
"('customer', 'service')",5,1
"('days', 'later')",5,1
"('order', 'received')",4,1
"('poor', 'service')",4,1
"('website', 'stock')",4,1
"('said', 'would')",4,1
"('violent', 'staff')",3,1
"('told', 'item')",3,1
"('placed', 'order')",3,1
"('received', 'product')",3,1
"('time', 'told')",3,1
"('post', 'office')",3,1
"('experience', 'better')",3,1
"('straight', 'away')",3,1
"('better', 'music')",16,2
"('customer', 'service')",10,2
"('express', 'shipping')",8,2
"('business', 'days')",7,2
"('item', 'stock')",7,2
"('took', 'long')",6,2
"('paid', 'express')",5,2
"('express', 'post')",5,2
"('poor', 'customer')",4,2
"('express', 'delivery')",4,2
"('tone', 'knob')",3,2
"('next', 'time')",3,2
"('free', 'shipping')",3,2
"('listed', 'item')",3,2
"('ordered', 'item')",3,2
"('pretty', 'disappointed')",3,2
"('week', 'later')",3,2
"('express', 'postage')",3,2
"('somewhere', 'else')",3,2
"('delivery', 'days')",3,2
"('better', 'music')",41,3
"('customer', 'service')",15,3
"('delivery', 'service')",11,3
"('placed', 'order')",7,3
"('long', 'time')",7,3
"('price', 'match')",7,3
"('good', 'service')",7,3
"('power', 'source')",7,3
"('express', 'delivery')",6,3
"('good', 'experience')",6,3
"('great', 'product')",6,3
"('could', 'better')",5,3
"('good', 'price')",5,3
"('took', 'long')",5,3
"('product', 'stock')",5,3
"('express', 'post')",5,3
"('delivery', 'times')",4,3
"('happy', 'purchase')",4,3
"('online', 'order')",4,3
"('business', 'days')",4,3
"('better', 'music')",109,4
"('customer', 'service')",61,4
"('good', 'service')",54,4
"('great', 'service')",54,4
"('service', 'great')",37,4
"('fast', 'delivery')",29,4
"('good', 'price')",24,4
"('good', 'product')",23,4
"('quick', 'delivery')",22,4
"('good', 'experience')",22,4
"('service', 'good')",21,4
"('good', 'communication')",21,4
"('free', 'shipping')",16,4
"('great', 'customer')",16,4
"('great', 'product')",16,4
"('item', 'stock')",15,4
"('prompt', 'delivery')",15,4
"('great', 'price')",15,4
"('happy', 'purchase')",15,4
"('would', 'given')",14,4
"('better', 'music')",1909,5
"('great', 'service')",1550,5
"('fast', 'delivery')",1119,5
"('customer', 'service')",888,5
"('excellent', 'service')",757,5
"('quick', 'delivery')",657,5
"('service', 'great')",601,5
"('great', 'price')",426,5
"('fast', 'shipping')",365,5
"('great', 'product')",346,5
"('good', 'service')",343,5
"('good', 'price')",312,5
"('service', 'fast')",311,5
"('prompt', 'delivery')",303,5
"('highly', 'recommend')",294,5
"('service', 'excellent')",287,5
"('great', 'customer')",267,5
"('super', 'fast')",259,5
"('delivery', 'great')",246,5
"('great', 'communication')",242,5
