,rating,date,review
0,5,2022-03-10T00:18:58.000Z,"3rd time I have bought a guitar from…
3rd time I have bought a guitar from these guys and they have the best service. Fast postage, well packed and set-up nicely."
1,5,2022-02-18T05:53:20.000Z,Great service as per usual
2,5,2022-02-18T02:24:35.000Z,"Good service
Good service, and guidance for choosing the correct instrument that suits your needs"
3,5,2022-02-18T01:24:05.000Z,"Speedy delivery
Speedy delivery - great to buy from"
4,5,2022-02-18T01:07:07.000Z,"Great online service and very fast…
Great online service and very fast delivery. Product arrived as advertised."
5,5,2022-02-16T04:29:40.000Z,"Excellent experience
My guitar arrived well packaged, exactly as described, and only a few days after placing my order. I wouldn’t hesitate to buy from Better Music again."
6,1,2022-02-15T02:36:58.000Z,"Violent staff member choked a customer…
Violent staff member choked a customer because he was scared? Living in fear as customer didn’t have a mask. Store worker never offered a mask. Emergency services had to be contacted!

Might need to educate your staff"
7,1,2022-02-14T06:32:14.000Z,"Violent staff chokes customer, should be sacked.
Physically choking a customer because he wasn't wearing a mask, who also is exempt from wearing a mask as he told the salesperson who attacked and choked him, the police and ambulance were called and the customer is absolutly traumatised because of this incident, sacking that salesman might be a good move, store manager!"
8,5,2022-02-10T22:08:09.000Z,"Quick delivery
I ordered the Focusrite Scarlett Solo to Sydney and It came in two days. Very happy with my purchase from Better Music."
9,5,2022-02-10T19:12:15.000Z,"Great to deal with
Great to deal with, answered questions I had before purchase and shipped promptly, would definitely buy from again"
10,5,2022-02-10T12:41:57.000Z,"Really impressed!
Fantastic service for an online order, super fast delivery, well packaged. I am really impressed and definitely recommend Better Music!"
11,5,2022-02-10T01:28:44.000Z,"Easy to order
Easy to order. Good communication and timely delivery"
12,5,2022-02-09T22:52:09.000Z,"Vox VT20X Valvetronix Guitar Amp Combo
The Vox VT20X I had purchased, for the price I payed, far exceeded my expectations. Like every other online purchase I had made from Better Music the delivery and packaging was A1, I highly recommend"
13,5,2022-02-08T10:42:33.000Z,"Better Delivers
Ordered my purchase on a Saturday then on the Tuesday afternoon it was at my front door just as I received my shipping notice, well worth the Live rate - express shipping, despite being in regional NSW. All round great experience as with previous purchases with Better Music. Thanks to all in your team."
14,4,2022-02-08T07:13:19.000Z,"Great, except the packaging
Shipping was fast. Items were as described. Items work. Took one star off though because of the dodgy packaging that didn't secure the items inside."
15,4,2022-02-08T05:30:04.000Z,"swift delivery
Our order came very swiftly and the item was just what we needed for our budding musician."
16,5,2022-02-08T02:39:33.000Z,Good quality and fast delivery
17,5,2022-02-08T01:11:25.000Z,Rapid service
18,5,2022-02-08T01:08:06.000Z,"Excellent service, great products and prices.
Great products, great prices, fast shipping, excellent service. These guys are not only Better Music, they should rename to Best Music"
19,5,2022-02-08T01:06:33.000Z,"Excellent customer service
Excellent customer service. Needed items posted really quickly, contacted customer service and they got it done. Products were great, service great. No complaints here!"
20,5,2022-02-07T07:52:12.000Z,"Digital Piano
I placed my order on a Sunday afternoon. It was processed, despatched and delivered interstate by lunch time the following Thursday. Exceptionally happy all aspects of this transaction. I would highly recommend this company to other potential buyers."
21,5,2022-02-07T06:39:49.000Z,"Good Prices and Prompt Service
I have ordered online from Better Music on a few occasions now and have always found them to have good prices and prompt service."
22,5,2022-02-07T00:19:07.000Z,"Just what we wanted
Just what we wanted, quick delivery"
23,5,2022-02-06T08:31:33.000Z,"Fabulous service
Fabulous service
Speedy delivery of Zildjian Cymbal set at a very good price. Kristin was also particularly helpful in trying to find suitable drum bags. Thank you :)"
24,4,2022-02-06T06:21:16.000Z,Very fast and efficient transaction.
25,5,2022-02-06T01:07:29.000Z,"Amazing service and delivery
Amazing service and delivery! Will definitely be shopping here again."
26,4,2022-02-05T04:50:52.000Z,"The shipment tracking info
The shipment tracking info took a couple of days to get but after ringing there customer service I was sent it via email that afternoon and the pedal arrived a couple days earlier then expected so I was very happy about that. So over a pretty positive experience."
27,5,2022-02-04T03:49:30.000Z,"A well-made and great value metronome
A well-made and great value metronome, sturdily constructed and has a bell for different time signatures. Fast, efficient service as always!"
28,5,2022-02-04T01:45:25.000Z,"Better Music are easy to deal with and…
Better Music are easy to deal with and got my recording equipment to me fast even during covid"
29,3,2022-02-04T01:11:59.000Z,"Please notify when delivered
The item was delivered and is as expected, thank you. Something that could be improved for your future orders is to provide text or email notifications, when the item is on its way, and especially once it has been delivered.. it helps to know as some items are quite expensive & we don't want them left out on the porch all day for fear of theft. We bought a keyboard and I have no idea how long it was sitting outside for, and it was in no other box exept the branded one so we were advertising to our neighbours what we have bought. I was home when it was delivered but heard no knock at the door & received no electronic notification. I was surprised to see it later that day when I went to leave the house.. disappointingly my daughter saw it too and it was supposed to be a surprise Xmas gift for her :( Little things like keeping the buyer aware of delivery times, especially before Christmas, would make for much happier customers. Otherwise we are very happy with our purchase, thank you."
30,5,2022-02-04T01:03:11.000Z,"Great experience with Better Music
Great experience with Better Music - just wish that I lived nearer, so I could visit the shop in person. Cheers!!"
31,5,2022-02-03T06:11:02.000Z,"Best online music store
Always the best service. Fast and easy transactions and deliveries. My sole online store for music products. Good work guys!!"
32,5,2022-02-03T06:08:18.000Z,"Very sturdy
Very sturdy, easy to use."
33,5,2022-02-03T03:53:44.000Z,"Quality products and really quick…
Quality products and really quick delivery. Very impressed. Will use Better Music again."
34,4,2022-02-03T02:58:53.000Z,"Very good 👍delivery service
good 👍 delivered before expected time"
35,5,2022-02-03T02:03:54.000Z,"Delivered very quick
Delivered very quick, great product"
36,5,2022-02-03T01:50:42.000Z,"Had the trumpet I wanted in stock and…
Had the trumpet I wanted in stock and delivered within a few days. Excellent service."
37,5,2022-02-03T01:29:11.000Z,"Arrived very quickly
Arrived very quickly, very happy with service."
38,5,2022-02-03T01:04:57.000Z,"Excellent service…freight service is…
Excellent service…freight service is back to fairly normal…even with the rain!! Thanx"
39,5,2022-02-03T01:01:26.000Z,Quick and prompt service.
40,5,2022-02-02T02:48:16.000Z,"I am very impressed with the speedy…
I am very impressed with the speedy delivery. The product is great and the pricing is very competitive. I will definitely shop again."
41,5,2022-02-02T01:11:49.000Z,"Ibanez RGA61AL
Purchased online and was super quick to ship. Was protected well given the extensive packaging. Overall super happy and will continue to shop with them going forward."
42,5,2022-02-01T05:50:10.000Z,"Speedy delivery
Speedy delivery. Great product"
43,5,2022-02-01T04:15:07.000Z,"Great service and really speedy…
Great service and really speedy delivery. Very easy to talk to experienced staff if required. Great customer experienve"
44,5,2022-02-01T01:56:53.000Z,"Good communication, fast turn around
I ordered an item which displayed as being out of stock on the site. I received a friendly email soon after confirming the item was out of stock along with an expected time frame to receive and ship it. The estimation was correct and the item was shipped and delivered in a very short short period. The item was correct and was packaged well. No excessive levels of waste, just what was needed to do the job."
45,5,2022-02-01T01:50:19.000Z,"I had a wonderful experience dealing…
I had a wonderful experience dealing with Hope from your online customer service Team who helped with question and also gave me an ETA on my delivery date.

Wendell Arnett"
46,5,2022-01-31T06:00:52.000Z,"Great service
Great service. Prompt delivery"
47,5,2022-01-31T04:20:18.000Z,"Everything you need good prices & super…
Everything you need good prices & super speedy delivery very happy 😏"
48,5,2022-01-31T02:47:09.000Z,"Great piano stand!
Great product and fast delivery! I am so glad I upgraded my piano x-frame stand to this frame. It looks great and is very sturdy"
49,5,2022-01-31T02:36:55.000Z,"I buy from them when i need an…
I buy from them when i need an instruments or accessories i found they have they prices
Thankyou:)"
50,5,2022-01-31T01:24:00.000Z,"My first buying experience from Better…
My first buying experience from Better Music and totally happy with the experience. Guitar was shipped within 1 business day of ordering online, and arrived (well packaged) in Melbourne from Canberra in 4 days with a public holiday in between. Thanks guys!"
51,5,2022-01-30T08:56:14.000Z,"Ordered Thursday night late
Ordered Thursday night late, Delivered Monday afternoon in semi rural NW Sydney. Every item was perfectly packaged, and the thank you card was a pleasant surprise."
52,5,2022-01-30T04:25:10.000Z,"Bought 2 guitars.
Bought 2 guitars.
Fantastic, super quick delivery.
well packed."
53,5,2022-01-30T04:12:02.000Z,"Excellent purchase and item
Excellent purchase and item - Fantastic quality and the post-sales customer service from Better Music Team amazing"
54,5,2022-01-29T08:59:08.000Z,Top notch.delivered without delay.👍
55,5,2022-01-29T01:07:25.000Z,"Fast and easy
Very accessible website/store. Found what I was looking for quickly and easily and it arrived a few days later. Very reasonable prices too. Will shop here again."
56,5,2022-01-28T15:38:42.000Z,"Super fast shipping and rock solid…
Super fast shipping and rock solid piano stool"
57,5,2022-01-28T03:04:07.000Z,"I could not fault the process
I could not fault the process, speed and delivery."
58,5,2022-01-28T02:51:22.000Z,"Super quick delivery, great products, great online info
Very happy with my experience with Better Music. Super fast delivery of item. Much quicker than expected. And I love the electric piano. I did a lot of research online before getting this model and I found the videos Better Music had comparing different makes and models invaluable in my decision making."
59,5,2022-01-28T01:42:35.000Z,"Excellent price for my Gretsch guitar
Excellent price for my Gretsch guitar , prompt shipping and delivered very reliably. Very happy to shop with Better Music"
60,5,2022-01-28T01:11:12.000Z,"Very happy with the order
Very happy with the order. The items were packaged really well and arrived on time."
61,5,2022-01-27T10:02:34.000Z,"Full marks
Fast service, a good price and I even got a handwritten card. Full marks to Better Music."
62,4,2022-01-27T04:39:28.000Z,"Great pedal, good postage time and packaging.
Would have been 5 stars only there were better deals on the pedal I purchased from other retailers. There is seemingly no option to price match on their online shopping page."
63,5,2022-01-27T02:41:49.000Z,"Perfect!
So easy to order, pay and quickly receive product. Clear info about how order was progressing too. Couldn’t have been any better thank you!"
64,5,2022-01-27T01:35:50.000Z,"Brilliant online service
Brilliant online service, easy to communicate with, and quick to respond to enquiries."
65,5,2022-01-27T01:21:57.000Z,"Contents came as described
Contents came as described. Yet to test how they’ll hold up in actual use. Delivery was very fast."
